sym,open,high,low,close,volume,date,time
bitcoin,34566.18,35076.42,34372.92,34612.41,6142.986291,2021/1/6,16:00:00
bitcoin,34615.98,35057.81,34562,34898.52,3410.29344,2021/1/6,17:00:00
bitcoin,34898.52,35245,34894.22,35215.75,3704.008481,2021/1/6,18:00:00
bitcoin,35215.75,35695,34652.6,34816.72,5619.207768,2021/1/6,19:00:00
bitcoin,34818.95,36250,34280,36015.88,10922.41272,2021/1/6,20:00:00
bitcoin,36015.16,36470,35650,35874.16,7481.324348,2021/1/6,21:00:00
bitcoin,35869.97,36379.99,35700.92,35989.63,2717.847393,2021/1/6,22:00:00
bitcoin,35989.64,36939.21,35949.12,36769.36,5501.43949,2021/1/6,23:00:00
bitcoin,36769.36,37287.63,36422.71,37150.66,6259.578978,2021/1/7,0:00:00
bitcoin,37150.66,37227.61,36615.83,36871.47,4542.03973,2021/1/7,1:00:00
bitcoin,36871.47,37087.01,36456,36962.37,4112.981009,2021/1/7,2:00:00
bitcoin,36962.37,37699,36926.53,37454.48,4747.646909,2021/1/7,3:00:00
bitcoin,37452.62,37550,37056.12,37450.95,4099.953841,2021/1/7,4:00:00
bitcoin,37450.95,37700.8,37100.77,37347.2,4337.600291,2021/1/7,5:00:00
bitcoin,37347.2,37439.75,36710,37130.84,4095.35114,2021/1/7,6:00:00
bitcoin,37130.85,37338.72,36720,36859.85,3782.276886,2021/1/7,7:00:00
bitcoin,36863.04,37350,36300,37217.55,5254.610209,2021/1/7,8:00:00
bitcoin,37217.55,37500.99,36905,37492.69,4407.045594,2021/1/7,9:00:00
bitcoin,37492.7,37500,36920,37045.45,3236.822718,2021/1/7,10:00:00
bitcoin,37045.45,37913.72,37038.97,37822.09,4315.490397,2021/1/7,11:00:00
bitcoin,37825.64,38200,37518,37941.36,6363.359069,2021/1/7,12:00:00
bitcoin,37941.37,38429,37900,38161.6,5364.346066,2021/1/7,13:00:00
bitcoin,38161.6,38644.76,38079.02,38453.97,5516.633701,2021/1/7,14:00:00
bitcoin,38450.51,38970.42,38062.75,38970.42,5401.362641,2021/1/7,15:00:00
bitcoin,38970.41,39500,38921.49,39120.01,8054.616114,2021/1/7,16:00:00
bitcoin,39120.01,39775,39101.36,39732.92,4853.729905,2021/1/7,17:00:00
bitcoin,39732.92,40365,36500,38948.48,16920.67287,2021/1/7,18:00:00
bitcoin,38907.58,39236.12,37493.52,39062,9539.541292,2021/1/7,19:00:00
bitcoin,39061.99,39199.33,38352.88,39109.38,4364.133612,2021/1/7,20:00:00
bitcoin,39111.34,39882.07,38908.11,39687.11,4533.614789,2021/1/7,21:00:00
bitcoin,39687.11,39969,39150,39665.92,2855.62721,2021/1/7,22:00:00
bitcoin,39666,39680.54,38541.38,39432.28,5866.665465,2021/1/7,23:00:00
bitcoin,39432.48,39699.87,38793.23,38793.23,3387.174889,2021/1/8,0:00:00
bitcoin,38793.24,39000,37800,38681.37,5775.389265,2021/1/8,1:00:00
bitcoin,38681.38,38692.83,36500,37181.74,9364.247135,2021/1/8,2:00:00
bitcoin,37181.74,38460.13,37068.4,38347.1,5036.746918,2021/1/8,3:00:00
bitcoin,38347.11,38949.97,38155.61,38668.92,5126.666402,2021/1/8,4:00:00
bitcoin,38668.92,38700,37895,37975.25,4384.158743,2021/1/8,5:00:00
bitcoin,37980.53,38685.13,37563.92,38537.94,3989.761815,2021/1/8,6:00:00
bitcoin,38538.99,39143.8,38280.16,38930.55,4177.46546,2021/1/8,7:00:00
bitcoin,38929.56,38985.06,38414.7,38648.95,3277.73807,2021/1/8,8:00:00
bitcoin,38648.96,39374.22,38222,39358.34,3995.803833,2021/1/8,9:00:00
bitcoin,39358.99,41057.79,39220,40721.45,10298.22133,2021/1/8,10:00:00
bitcoin,40722.71,41500.45,40345.39,41286.67,9286.549999,2021/1/8,11:00:00
bitcoin,41286.67,41785.9,40857.37,41316.91,7590.278927,2021/1/8,12:00:00
bitcoin,41318.03,41641.83,40700,41311.18,5331.452666,2021/1/8,13:00:00
bitcoin,41313.24,41564.72,40970.22,41454.13,3918.180651,2021/1/8,14:00:00
bitcoin,41454.13,41950,39777,40829.08,12863.95162,2021/1/8,15:00:00
bitcoin,40829.07,41600,40359.67,41303.42,6293.058759,2021/1/8,16:00:00
bitcoin,41303.41,41556.19,40888.88,41009.07,3675.204655,2021/1/8,17:00:00
bitcoin,41009.08,41153,39800,39920.39,6673.747782,2021/1/8,18:00:00
bitcoin,39920.67,40700,39900.35,40365.09,3881.072464,2021/1/8,19:00:00
bitcoin,40365.09,40500,38888,39059.15,9598.073547,2021/1/8,20:00:00
bitcoin,39062.88,40116.37,38652,40075.82,6171.364208,2021/1/8,21:00:00
bitcoin,40075.82,40785,39740.95,40674.45,3008.048563,2021/1/8,22:00:00
bitcoin,40672.02,40937.77,40465.76,40582.81,2685.599805,2021/1/8,23:00:00
bitcoin,40586.96,40976.13,39980.27,40283.56,4382.254983,2021/1/9,0:00:00
bitcoin,40286.09,40321.92,39710,40198.56,4543.736056,2021/1/9,1:00:00
bitcoin,40196.51,40561.97,39500,39973,3032.046541,2021/1/9,2:00:00
bitcoin,39973,40376.69,39709.61,40211.59,1917.78678,2021/1/9,3:00:00
bitcoin,40209.91,40490,39805.03,40206.44,1976.484373,2021/1/9,4:00:00
bitcoin,40206.43,40206.43,39154.48,39295.37,3025.041625,2021/1/9,5:00:00
bitcoin,39293.41,39627.11,38888,38984.86,4352.605937,2021/1/9,6:00:00
bitcoin,38978.46,39692,38720,39638.61,3109.889209,2021/1/9,7:00:00
bitcoin,39639.21,40254.42,39290.86,40172.14,3081.993289,2021/1/9,8:00:00
bitcoin,40167.54,40790,40164.03,40348.35,3653.415447,2021/1/9,9:00:00
bitcoin,40348.36,40800,40105.51,40376.03,3130.356558,2021/1/9,10:00:00
bitcoin,40376.03,41237.44,40256.73,40565.77,4682.991247,2021/1/9,11:00:00
bitcoin,40565.77,40912.48,40410.01,40874.99,2732.201204,2021/1/9,12:00:00
bitcoin,40874.99,41222,40679.1,41051.65,3818.65745,2021/1/9,13:00:00
bitcoin,41051.66,41380,40700,40819.01,3867.781192,2021/1/9,14:00:00
bitcoin,40819.01,40953,40200,40525.15,3364.433164,2021/1/9,15:00:00
bitcoin,40525.16,40649.96,39869,39995.1,3942.095173,2021/1/9,16:00:00
bitcoin,39995.09,40586.87,39985.45,40421.4,2205.653031,2021/1/9,17:00:00
bitcoin,40421.4,40800,40417.36,40650.01,2109.16468,2021/1/9,18:00:00
bitcoin,40650,40880,40469.4,40665.91,1864.142493,2021/1/9,19:00:00
bitcoin,40665.91,40781.69,40050,40606.22,3330.651765,2021/1/9,20:00:00
bitcoin,40610.35,40755,40483.17,40718.8,2433.80943,2021/1/9,21:00:00
bitcoin,40718.81,40743.47,40120,40281.09,1973.252287,2021/1/9,22:00:00
bitcoin,40283.73,40415.01,39928.91,40088.22,3255.535761,2021/1/9,23:00:00
bitcoin,40088.22,40736.76,40087.15,40581.48,2697.151944,2021/1/10,0:00:00
bitcoin,40581.48,41350,40450.05,41141.56,4299.152502,2021/1/10,1:00:00
bitcoin,41141.55,41145.21,40814.04,40945.28,2353.852746,2021/1/10,2:00:00
bitcoin,40942.75,40991.2,40250,40316.64,2477.288512,2021/1/10,3:00:00
bitcoin,40320.67,40602.29,40050,40342.46,2786.996809,2021/1/10,4:00:00
bitcoin,40342.46,40665.23,40260,40451.84,2044.479107,2021/1/10,5:00:00
bitcoin,40451.74,41073.26,40350,40904.5,2194.912951,2021/1/10,6:00:00
bitcoin,40904.5,41066.62,40660.88,40978.57,2143.462273,2021/1/10,7:00:00
bitcoin,40978.57,41033,40555,40798.29,2415.931335,2021/1/10,8:00:00
bitcoin,40798.3,41060,40732,40768.48,2642.958747,2021/1/10,9:00:00
bitcoin,40768.3,40850,40000,40429.2,5145.086741,2021/1/10,10:00:00
bitcoin,40429.19,40429.56,38888,39181.76,8619.31148,2021/1/10,11:00:00
bitcoin,39175.09,39777.77,38450,39538.57,6929.936839,2021/1/10,12:00:00
bitcoin,39538.56,40126,39426.59,39800.9,3799.316603,2021/1/10,13:00:00
bitcoin,39800.89,39847.26,39247.54,39431.59,3199.914023,2021/1/10,14:00:00
bitcoin,39431.58,39934.76,39062.91,39671.81,3219.502219,2021/1/10,15:00:00
bitcoin,39671.82,39757.55,39186.16,39234.29,2904.113456,2021/1/10,16:00:00
bitcoin,39232.76,39388.2,37200,38571.86,12879.6207,2021/1/10,17:00:00
bitcoin,38571.95,38778,37675.3,38109.68,6090.671447,2021/1/10,18:00:00
bitcoin,38106.11,38536.65,37111,37456.77,4232.502555,2021/1/10,19:00:00
bitcoin,37472.4,37793.5,35111.11,37718.88,18938.3298,2021/1/10,20:00:00
bitcoin,37727.29,38288.17,37525.22,38055.3,7661.059573,2021/1/10,21:00:00
bitcoin,38052.58,39000,37852.09,38428.23,4739.668521,2021/1/10,22:00:00
bitcoin,38429.85,38692.79,37935.92,38150.02,3794.32362,2021/1/10,23:00:00
bitcoin,38150.02,38264.74,36501,37192.1,7568.894487,2021/1/11,0:00:00
